dcode,dname,area,dev_reg,eco_belt,yearcode,crop_name,amaize,pmaize,ymaize
1,Taplejung,3646,easter d,mountain,2000/2001,maize,12463,17363,1393
1,Taplejung,3646,easter d,mountain,2001/2002,maize,13150,21960,1670
1,Taplejung,3646,easter d,mountain,2002/2003,maize,13150,21960,1670
1,Taplejung,3646,easter d,mountain,2003/2004,maize,13150,21960,
1,Taplejung,3646,easter d,mountain,2004/2005,maize,13150,22171,1686
1,Taplejung,3646,easter d,mountain,2005/2006,maize,13075,22881,1750
1,Taplejung,3646,easter d,mountain,2006/2007,maize,13075,24019,1837
1,Taplejung,3646,easter d,mountain,2007/2008,maize,13187,28495,2161
1,Taplejung,3646,easter d,mountain,2008/2009,maize,13187,28495,2161
1,Taplejung,3646,easter d,mountain,2009/2010,maize,13200,26300,1992
1,Taplejung,3646,easter d,mountain,2010/2011,maize,16075,36795,2289
1,Taplejung,3646,easter d,mountain,2011/2012,maize,16075,38116,2371
1,Taplejung,3646,easter d,mountain,2012/2013,maize,9150,27450,3000
1,Taplejung,3646,easter d,mountain,2013/2014,maize,16075,49408,3074
1,Taplejung,3646,easter d,mountain,2014/2015,maize,9150,30770,3363
2,Panchthar,1241,easter d,hill,2000/2001,maize,14138,26155,1850
2,Panchthar,1241,easter d,hill,2001/2002,maize,14151,16681,1179
2,Panchthar,1241,easter d,hill,2002/2003,maize,14151,16681,1179
2,Panchthar,1241,easter d,hill,2003/2004,maize,14151,16681,1179
2,Panchthar,1241,easter d,hill,2004/2005,maize,14154,21231,1500
2,Panchthar,1241,easter d,hill,2005/2006,maize,14154,21231,1500
2,Panchthar,1241,easter d,hill,2006/2007,maize,14154,21231,1500
2,Panchthar,1241,easter d,hill,2007/2008,maize,14160,22089,1560
2,Panchthar,1241,easter d,hill,2008/2009,maize,14160,22133,1563
2,Panchthar,1241,easter d,hill,2009/2010,maize,14150,21225,1500
2,Panchthar,1241,easter d,hill,2010/2011,maize,14155,21233,1500
2,Panchthar,1241,easter d,hill,2011/2012,maize,12800,21760,1700
2,Panchthar,1241,easter d,hill,2012/2013,maize,8000,12240,1530
2,Panchthar,1241,easter d,hill,2013/2014,maize,18627,29931,1607
2,Panchthar,1241,easter d,hill,2014/2015,maize,18432,30412,1650
3,Ilam,1703,easter d,hill,2000/2001,maize,24335,43681,1795
3,Ilam,1703,easter d,hill,2001/2002,maize,24500,44350,1810
3,Ilam,1703,easter d,hill,2002/2003,maize,24500,44350,1810
3,Ilam,1703,easter d,hill,2003/2004,maize,24500,44350,1810
3,Ilam,1703,easter d,hill,2004/2005,maize,24500,46550,1900
3,Ilam,1703,easter d,hill,2005/2006,maize,22927,42415,1850
3,Ilam,1703,easter d,hill,2006/2007,maize,23470,46940,2000
3,Ilam,1703,easter d,hill,2007/2008,maize,23480,57526,2450
3,Ilam,1703,easter d,hill,2008/2009,maize,23480,57526,2450
3,Ilam,1703,easter d,hill,2009/2010,maize,23480,58500,2491
3,Ilam,1703,easter d,hill,2010/2011,maize,31480,77500,2462
3,Ilam,1703,easter d,hill,2011/2012,maize,31480,77500,2462
3,Ilam,1703,easter d,hill,2012/2013,maize,31480,78385,2490
3,Ilam,1703,easter d,hill,2013/2014,maize,28200,69654,2470
3,Ilam,1703,easter d,hill,2014/2015,maize,31395,111452,3550
4,Jhapa,1606,easter d,terai,2000/2001,maize,21055,42110,2000
4,Jhapa,1606,easter d,terai,2001/2002,maize,21150,42300,2000
4,Jhapa,1606,easter d,terai,2002/2003,maize,21150,42300,2000
4,Jhapa,1606,easter d,terai,2003/2004,maize,21150,42300,2000
4,Jhapa,1606,easter d,terai,2004/2005,maize,22000,44000,2000
4,Jhapa,1606,easter d,terai,2005/2006,maize,22250,47838,2150
4,Jhapa,1606,easter d,terai,2006/2007,maize,21700,54250,2500
4,Jhapa,1606,easter d,terai,2007/2008,maize,22550,56627,2511
4,Jhapa,1606,easter d,terai,2008/2009,maize,22600,58600,2593
4,Jhapa,1606,easter d,terai,2009/2010,maize,22600,58600,2593
4,Jhapa,1606,easter d,terai,2010/2011,maize,24600,62310,2533
4,Jhapa,1606,easter d,terai,2011/2012,maize,24600,72460,2946
4,Jhapa,1606,easter d,terai,2012/2013,maize,36185,82140,2270
4,Jhapa,1606,easter d,terai,2013/2014,maize,36850,95000,2578
4,Jhapa,1606,easter d,terai,2014/2015,maize,35500,92000,2592
5,Morang,1855,easter d,terai,2000/2001,maize,14005,22064,1575
5,Morang,1855,easter d,terai,2001/2002,maize,14100,25520,1810
5,Morang,1855,easter d,terai,2002/2003,maize,14100,25520,1810
5,Morang,1855,easter d,terai,2003/2004,maize,14100,25520,1810
5,Morang,1855,easter d,terai,2004/2005,maize,14925,29830,1999
5,Morang,1855,easter d,terai,2005/2006,maize,15500,34940,2254
5,Morang,1855,easter d,terai,2006/2007,maize,15000,31500,2100
5,Morang,1855,easter d,terai,2007/2008,maize,15100,34175,2263
5,Morang,1855,easter d,terai,2008/2009,maize,15170,35200,2320
5,Morang,1855,easter d,terai,2009/2010,maize,19220,42130,2192
5,Morang,1855,easter d,terai,2010/2011,maize,16100,45300,2814
5,Morang,1855,easter d,terai,2011/2012,maize,15100,45300,3000
5,Morang,1855,easter d,terai,2012/2013,maize,1630,5379,3300
5,Morang,1855,easter d,terai,2013/2014,maize,15000,50000,3333
5,Morang,1855,easter d,terai,2014/2015,maize,14200,48220,3396
6,Sunsari,1257,easter d,terai,2000/2001,maize,3000,7500,2500
6,Sunsari,1257,easter d,terai,2001/2002,maize,5000,9750,1950
6,Sunsari,1257,easter d,terai,2002/2003,maize,5000,9750,1950
6,Sunsari,1257,easter d,terai,2003/2004,maize,5000,9750,1950
6,Sunsari,1257,easter d,terai,2004/2005,maize,5700,11115,1950
6,Sunsari,1257,easter d,terai,2005/2006,maize,5700,11115,1950
6,Sunsari,1257,easter d,terai,2006/2007,maize,5200,13000,2500
6,Sunsari,1257,easter d,terai,2007/2008,maize,5660,14150,2500
6,Sunsari,1257,easter d,terai,2008/2009,maize,7300,14900,2041
6,Sunsari,1257,easter d,terai,2009/2010,maize,7500,19600,2613
6,Sunsari,1257,easter d,terai,2010/2011,maize,8500,23250,2735
6,Sunsari,1257,easter d,terai,2011/2012,maize,7845,21966,2800
6,Sunsari,1257,easter d,terai,2012/2013,maize,7845,27000,3442
6,Sunsari,1257,easter d,terai,2013/2014,maize,7800,26500,3397
6,Sunsari,1257,easter d,terai,2014/2015,maize,8350,25050,3000
7,Dhankuta,891,easter d,hill,2000/2001,maize,19890,25022,1258
7,Dhankuta,891,easter d,hill,2001/2002,maize,19890,23813,1700
7,Dhankuta,891,easter d,hill,2002/2003,maize,19200,24190,1260
7,Dhankuta,891,easter d,hill,2003/2004,maize,19200,24190,1260
7,Dhankuta,891,easter d,hill,2004/2005,maize,19985,23382,1170
7,Dhankuta,891,easter d,hill,2005/2006,maize,19950,38105,1910
7,Dhankuta,891,easter d,hill,2006/2007,maize,19973,41943,2100
7,Dhankuta,891,easter d,hill,2007/2008,maize,19985,50960,2550
7,Dhankuta,891,easter d,hill,2008/2009,maize,19985,50960,2550
7,Dhankuta,891,easter d,hill,2009/2010,maize,18875,54750,2901
7,Dhankuta,891,easter d,hill,2010/2011,maize,17779,39736,2235
7,Dhankuta,891,easter d,hill,2011/2012,maize,18200,42450,2332
7,Dhankuta,891,easter d,hill,2012/2013,maize,18200,39312,2160
7,Dhankuta,891,easter d,hill,2013/2014,maize,5450,14975,2748
7,Dhankuta,891,easter d,hill,2014/2015,maize,6785,15500,2284
8,Terhathum,679,easter d,hill,2000/2001,maize,11665,17415,1493
8,Terhathum,679,easter d,hill,2001/2002,maize,11675,17863,1530
8,Terhathum,679,easter d,hill,2002/2003,maize,11675,17863,1530
8,Terhathum,679,easter d,hill,2003/2004,maize,11675,17863,1530
8,Terhathum,679,easter d,hill,2004/2005,maize,11675,19665,1684
8,Terhathum,679,easter d,hill,2005/2006,maize,11675,19614,1680
8,Terhathum,679,easter d,hill,2006/2007,maize,12000,23160,1930
8,Terhathum,679,easter d,hill,2007/2008,maize,12092,16164,1337
8,Terhathum,679,easter d,hill,2008/2009,maize,12092,16164,1337
8,Terhathum,679,easter d,hill,2009/2010,maize,12300,21600,1756
8,Terhathum,679,easter d,hill,2010/2011,maize,12300,21014,1708
8,Terhathum,679,easter d,hill,2011/2012,maize,12350,25935,2100
8,Terhathum,679,easter d,hill,2012/2013,maize,12400,26288,2120
8,Terhathum,679,easter d,hill,2013/2014,maize,12410,27302,2200
8,Terhathum,679,easter d,hill,2014/2015,maize,12350,30875,2500
9,Sankhuwasabha,3480,easter d,mountain,2000/2001,maize,12587,21448,1704
9,Sankhuwasabha,3480,easter d,mountain,2001/2002,maize,12846,21838,1700
9,Sankhuwasabha,3480,easter d,mountain,2002/2003,maize,12846,21838,1700
9,Sankhuwasabha,3480,easter d,mountain,2003/2004,maize,12846,21838,1700
9,Sankhuwasabha,3480,easter d,mountain,2004/2005,maize,12846,22789,1774
9,Sankhuwasabha,3480,easter d,mountain,2005/2006,maize,13087,22623,1729
9,Sankhuwasabha,3480,easter d,mountain,2006/2007,maize,13080,23740,1815
