dcode,dname,area,dev_reg,eco_belt,yearcode,crop_name,amillet,pmillet,ymillet
1,Taplejung,3646,easter d,mountain,2000/2001,Millet,5631,6350,1128
1,Taplejung,3646,easter d,mountain,2001/2002,Millet,3100,3720,1200
1,Taplejung,3646,easter d,mountain,2002/2003,Millet,3100,3720,1200
1,Taplejung,3646,easter d,mountain,2003/2004,Millet,3100,3720,1200
1,Taplejung,3646,easter d,mountain,2004/2005,Millet,3100,3565,1150
1,Taplejung,3646,easter d,mountain,2005/2006,Millet,3050,3660,1200
1,Taplejung,3646,easter d,mountain,2006/2007,Millet,3050,3500,1148
1,Taplejung,3646,easter d,mountain,2007/2008,Millet,3050,3567,1170
1,Taplejung,3646,easter d,mountain,2008/2009,Millet,3050,3567,1170
1,Taplejung,3646,easter d,mountain,2009/2010,Millet,3050,3050,1000
1,Taplejung,3646,easter d,mountain,2010/2011,Millet,3050,3813,1250
1,Taplejung,3646,easter d,mountain,2011/2012,Millet,3050,3508,1150
1,Taplejung,3646,easter d,mountain,2012/2013,Millet,3050,3507,1150
1,Taplejung,3646,easter d,mountain,2013/2014,Millet,3290,4418,1343
1,Taplejung,3646,easter d,mountain,2014/2015,Millet,3350,4718,1408
2,Panchthar,1241,easter d,hill,2000/2001,Millet,5955,7421,1246
2,Panchthar,1241,easter d,hill,2001/2002,Millet,5975,7170,1200
2,Panchthar,1241,easter d,hill,2002/2003,Millet,5975,7170,1200
2,Panchthar,1241,easter d,hill,2003/2004,Millet,5975,7170,1200
2,Panchthar,1241,easter d,hill,2004/2005,Millet,5978,8564,1433
2,Panchthar,1241,easter d,hill,2005/2006,Millet,5978,7965,1332
2,Panchthar,1241,easter d,hill,2006/2007,Millet,5978,7700,1288
2,Panchthar,1241,easter d,hill,2007/2008,Millet,5992,7790,1300
2,Panchthar,1241,easter d,hill,2008/2009,Millet,5992,7750,1293
2,Panchthar,1241,easter d,hill,2009/2010,Millet,4911,7150,1456
2,Panchthar,1241,easter d,hill,2010/2011,Millet,5000,8350,1670
2,Panchthar,1241,easter d,hill,2011/2012,Millet,5000,9350,1870
2,Panchthar,1241,easter d,hill,2012/2013,Millet,5000,9350,1870
2,Panchthar,1241,easter d,hill,2013/2014,Millet,4805,9046,1883
2,Panchthar,1241,easter d,hill,2014/2015,Millet,4750,8980,1891
3,Ilam,1703,easter d,hill,2000/2001,Millet,3290,3290,1000
3,Ilam,1703,easter d,hill,2001/2002,Millet,3213,3373,1050
