dcode,dname,area,dev_reg,eco_belt,yearcode,crop_name,apaddy,ppaddy,ypaddy
1,Taplejung,3646,easter d,mountain,2000/2001,paddy,4927,8078,1640
1,Taplejung,3646,easter d,mountain,2001/2002,paddy,8990,18250,2030
1,Taplejung,3646,easter d,mountain,2002/2003,paddy,8990,18250,2030
1,Taplejung,3646,easter d,mountain,2003/2004,paddy,8990,18250,2030
1,Taplejung,3646,easter d,mountain,2004/2005,paddy,9025,19738,2187
1,Taplejung,3646,easter d,mountain,2005/2006,paddy,9090,19089,2100
1,Taplejung,3646,easter d,mountain,2006/2007,paddy,8783,16048,1827
1,Taplejung,3646,easter d,mountain,2007/2008,paddy,8783,16048,1827
1,Taplejung,3646,easter d,mountain,2008/2009,paddy,8783,16048,1827
1,Taplejung,3646,easter d,mountain,2009/2010,paddy,8710,15600,1791
1,Taplejung,3646,easter d,mountain,2010/2011,paddy,9710,20100,2070
1,Taplejung,3646,easter d,mountain,2011/2012,paddy,10477,22167,2116
1,Taplejung,3646,easter d,mountain,2012/2013,paddy,4850,10913,2250
1,Taplejung,3646,easter d,mountain,2013/2014,paddy,6950,13861,1994
1,Taplejung,3646,easter d,mountain,2014/2015,paddy,4074,8637,2120
2,Panchthar,1241,easter d,hill,2000/2001,paddy,6730,12501,1858
2,Panchthar,1241,easter d,hill,2001/2002,paddy,10480,22010,2100
2,Panchthar,1241,easter d,hill,2002/2003,paddy,10480,22010,2100
2,Panchthar,1241,easter d,hill,2003/2004,paddy,10480,22010,2100
2,Panchthar,1241,easter d,hill,2004/2005,paddy,10388,20776,2000
2,Panchthar,1241,easter d,hill,2005/2006,paddy,10388,20776,2000
2,Panchthar,1241,easter d,hill,2006/2007,paddy,8854,15800,1785
2,Panchthar,1241,easter d,hill,2007/2008,paddy,8854,15800,1785
2,Panchthar,1241,easter d,hill,2008/2009,paddy,8854,15879,1793
2,Panchthar,1241,easter d,hill,2009/2010,paddy,8400,15000,1786
2,Panchthar,1241,easter d,hill,2010/2011,paddy,10400,21840,2100
2,Panchthar,1241,easter d,hill,2011/2012,paddy,11500,23000,2000
2,Panchthar,1241,easter d,hill,2012/2013,paddy,11300,22600,2000
2,Panchthar,1241,easter d,hill,2013/2014,paddy,10322,30127,2919
2,Panchthar,1241,easter d,hill,2014/2015,paddy,9200,20240,2200
3,Ilam,1703,easter d,hill,2000/2001,paddy,12405,20851,1681
3,Ilam,1703,easter d,hill,2001/2002,paddy,13605,28800,2117
3,Ilam,1703,easter d,hill,2002/2003,paddy,13605,28800,2117
3,Ilam,1703,easter d,hill,2003/2004,paddy,13605,28800,2117
3,Ilam,1703,easter d,hill,2004/2005,paddy,14471,31966,2209
3,Ilam,1703,easter d,hill,2005/2006,paddy,14625,35538,2430
3,Ilam,1703,easter d,hill,2006/2007,paddy,12091,29500,2440
3,Ilam,1703,easter d,hill,2007/2008,paddy,12304,28299,2300
3,Ilam,1703,easter d,hill,2008/2009,paddy,13200,36300,2750
3,Ilam,1703,easter d,hill,2009/2010,paddy,13084,35914,2745
3,Ilam,1703,easter d,hill,2010/2011,paddy,14825,45690,3082
3,Ilam,1703,easter d,hill,2011/2012,paddy,14825,45690,3082
3,Ilam,1703,easter d,hill,2012/2013,paddy,14815,45185,3050
3,Ilam,1703,easter d,hill,2013/2014,paddy,14185,44966,3170
3,Ilam,1703,easter d,hill,2014/2015,paddy,12593,31230,2480
4,Jhapa,1606,easter d,terai,2000/2001,paddy,84214,247680,2941
4,Jhapa,1606,easter d,terai,2001/2002,paddy,92150,290660,3154
4,Jhapa,1606,easter d,terai,2002/2003,paddy,92100,298600,3242
4,Jhapa,1606,easter d,terai,2003/2004,paddy,92100,298600,3242
4,Jhapa,1606,easter d,terai,2004/2005,paddy,96875,314844,3250
4,Jhapa,1606,easter d,terai,2005/2006,paddy,96800,311690,3220
4,Jhapa,1606,easter d,terai,2006/2007,paddy,81000,243290,3004
4,Jhapa,1606,easter d,terai,2007/2008,paddy,96161,312523,3250
4,Jhapa,1606,easter d,terai,2008/2009,paddy,96700,322640,3337
4,Jhapa,1606,easter d,terai,2009/2010,paddy,80000,264000,3300
4,Jhapa,1606,easter d,terai,2010/2011,paddy,82400,271920,3300
4,Jhapa,1606,easter d,terai,2011/2012,paddy,89400,321840,3600
4,Jhapa,1606,easter d,terai,2012/2013,paddy,86700,320790,3700
4,Jhapa,1606,easter d,terai,2013/2014,paddy,88500,365250,4127
4,Jhapa,1606,easter d,terai,2014/2015,paddy,83200,337792,4060
5,Morang,1855,easter d,terai,2000/2001,paddy,85000,263741,3103
5,Morang,1855,easter d,terai,2001/2002,paddy,94789,294435,3106
5,Morang,1855,easter d,terai,2002/2003,paddy,94790,311250,3284
5,Morang,1855,easter d,terai,2003/2004,paddy,94790,311250,3284
5,Morang,1855,easter d,terai,2004/2005,paddy,98000,321832,3284
5,Morang,1855,easter d,terai,2005/2006,paddy,98070,305740,3118
5,Morang,1855,easter d,terai,2006/2007,paddy,81360,242476,2980
5,Morang,1855,easter d,terai,2007/2008,paddy,88290,273699,3100
5,Morang,1855,easter d,terai,2008/2009,paddy,88200,279912,3174
5,Morang,1855,easter d,terai,2009/2010,paddy,77120,244500,3170
5,Morang,1855,easter d,terai,2010/2011,paddy,78200,258060,3300
5,Morang,1855,easter d,terai,2011/2012,paddy,78200,277610,3550
5,Morang,1855,easter d,terai,2012/2013,paddy,82840,259289,3130
5,Morang,1855,easter d,terai,2013/2014,paddy,83525,332100,3976
5,Morang,1855,easter d,terai,2014/2015,paddy,82550,288925,3500
6,Sunsari,1257,easter d,terai,2000/2001,paddy,47850,130625,2730
6,Sunsari,1257,easter d,terai,2001/2002,paddy,61715,195822,3173
6,Sunsari,1257,easter d,terai,2002/2003,paddy,61430,191815,3122
6,Sunsari,1257,easter d,terai,2003/2004,paddy,61430,191815,3122
6,Sunsari,1257,easter d,terai,2004/2005,paddy,61116,190807,3122
6,Sunsari,1257,easter d,terai,2005/2006,paddy,61140,189530,3100
6,Sunsari,1257,easter d,terai,2006/2007,paddy,54942,164826,3000
6,Sunsari,1257,easter d,terai,2007/2008,paddy,53600,166160,3100
6,Sunsari,1257,easter d,terai,2008/2009,paddy,51158,141360,2763
6,Sunsari,1257,easter d,terai,2009/2010,paddy,49991,133950,2679
6,Sunsari,1257,easter d,terai,2010/2011,paddy,53791,155994,2900
6,Sunsari,1257,easter d,terai,2011/2012,paddy,53550,166000,3100
6,Sunsari,1257,easter d,terai,2012/2013,paddy,52550,160650,3057
6,Sunsari,1257,easter d,terai,2013/2014,paddy,51550,180200,3496
6,Sunsari,1257,easter d,terai,2014/2015,paddy,44940,161784,3600
7,Dhankuta,891,easter d,hill,2000/2001,paddy,7659,14197,1854
7,Dhankuta,891,easter d,hill,2001/2002,paddy,9774,25556,2615
7,Dhankuta,891,easter d,hill,2002/2003,paddy,9429,26645,2826
7,Dhankuta,891,easter d,hill,2003/2004,paddy,9429,26645,2826
7,Dhankuta,891,easter d,hill,2004/2005,paddy,9435,26663,2826
7,Dhankuta,891,easter d,hill,2005/2006,paddy,9435,26663,2826
7,Dhankuta,891,easter d,hill,2006/2007,paddy,8145,20750,2548
7,Dhankuta,891,easter d,hill,2007/2008,paddy,8695,23042,2650
7,Dhankuta,891,easter d,hill,2008/2009,paddy,8695,23770,2734
7,Dhankuta,891,easter d,hill,2009/2010,paddy,8650,23530,2720
7,Dhankuta,891,easter d,hill,2010/2011,paddy,9412,21957,2333
7,Dhankuta,891,easter d,hill,2011/2012,paddy,8877,19600,2208
7,Dhankuta,891,easter d,hill,2012/2013,paddy,8495,18859,2220
7,Dhankuta,891,easter d,hill,2013/2014,paddy,10660,24244,2274
7,Dhankuta,891,easter d,hill,2014/2015,paddy,7820,22434,2869
8,Terhathum,679,easter d,hill,2000/2001,paddy,8721,14243,1633
8,Terhathum,679,easter d,hill,2001/2002,paddy,11194,22579,2017
8,Terhathum,679,easter d,hill,2002/2003,paddy,11194,22579,2017
8,Terhathum,679,easter d,hill,2003/2004,paddy,11194,22579,2017
8,Terhathum,679,easter d,hill,2004/2005,paddy,10977,22349,2036
8,Terhathum,679,easter d,hill,2005/2006,paddy,10977,22349,2036
8,Terhathum,679,easter d,hill,2006/2007,paddy,9817,18500,1884
8,Terhathum,679,easter d,hill,2007/2008,paddy,10186,20372,2000
8,Terhathum,679,easter d,hill,2008/2009,paddy,10186,20372,2000
8,Terhathum,679,easter d,hill,2009/2010,paddy,10237,18656,1822
8,Terhathum,679,easter d,hill,2010/2011,paddy,9592,21102,2200
8,Terhathum,679,easter d,hill,2011/2012,paddy,10662,24523,2300
8,Terhathum,679,easter d,hill,2012/2013,paddy,10341,23784,2300
8,Terhathum,679,easter d,hill,2013/2014,paddy,10180,27576,2709
8,Terhathum,679,easter d,hill,2014/2015,paddy,7606,17494,2300
9,Sankhuwasabha,3480,easter d,mountain,2000/2001,paddy,10180,18270,1795
9,Sankhuwasabha,3480,easter d,mountain,2001/2002,paddy,11780,24267,2060
9,Sankhuwasabha,3480,easter d,mountain,2002/2003,paddy,11780,24267,2060
9,Sankhuwasabha,3480,easter d,mountain,2003/2004,paddy,11780,24267,2060
9,Sankhuwasabha,3480,easter d,mountain,2004/2005,paddy,15496,34091,2200
9,Sankhuwasabha,3480,easter d,mountain,2005/2006,paddy,15496,28674,1850
9,Sankhuwasabha,3480,easter d,mountain,2006/2007,paddy,15037,25030,1665
9,Sankhuwasabha,3480,easter d,mountain,2007/2008,paddy,15932,28677,1800
9,Sankhuwasabha,3480,easter d,mountain,2008/2009,paddy,15932,28677,1800
9,Sankhuwasabha,3480,easter d,mountain,2009/2010,paddy,13171,21732,1650
9,Sankhuwasabha,3480,easter d,mountain,2010/2011,paddy,15417,29816,1934
9,Sankhuwasabha,3480,easter d,mountain,2011/2012,paddy,15812,36600,2315
9,Sankhuwasabha,3480,easter d,mountain,2012/2013,paddy,15801,23701,1500
9,Sankhuwasabha,3480,easter d,mountain,2013/2014,paddy,13775,35458,2574
9,Sankhuwasabha,3480,easter d,mountain,2014/2015,paddy,13650,32660,2393
10,Bhojpur,1507,easter d,hill,2000/2001,paddy,15129,32470,2146
10,Bhojpur,1507,easter d,hill,2001/2002,paddy,18918,45750,2418
10,Bhojpur,1507,easter d,hill,2002/2003,paddy,18118,45750,2418
10,Bhojpur,1507,easter d,hill,2003/2004,paddy,18918,45750,2418
10,Bhojpur,1507,easter d,hill,2004/2005,paddy,12300,29741,2418
10,Bhojpur,1507,easter d,hill,2005/2006,paddy,12300,29741,2418
10,Bhojpur,1507,easter d,hill,2006/2007,paddy,12030,29064,2416
10,Bhojpur,1507,easter d,hill,2007/2008,paddy,15361,36866,2400
10,Bhojpur,1507,easter d,hill,2008/2009,paddy,15361,36866,2400
10,Bhojpur,1507,easter d,hill,2009/2010,paddy,15300,35600,2327
10,Bhojpur,1507,easter d,hill,2010/2011,paddy,16103,37633,2337
10,Bhojpur,1507,easter d,hill,2011/2012,paddy,16110,42341,2628
10,Bhojpur,1507,easter d,hill,2012/2013,paddy,16150,44299,2743
10,Bhojpur,1507,easter d,hill,2013/2014,paddy,17150,48340,2819
10,Bhojpur,1507,easter d,hill,2014/2015,paddy,16093,35893,2230
