dcode,dname,area,dev_reg,eco_belt,eco_dev,yearcode,year,apaddy,ppaddy,ypaddy,amaize,pmaize,ymaize,amillet,pmillet,ymillet,abuckwheet,pbuckwheet,ybuckwheet,awheat,pwheat,ywheat,abarley,pbarley,ybarley
1,Taplejung,3646,easter d,mountain,eastern,2000/2001,2000/01,4927,8078,1640,12463,17363,1393,5631,6350,1128,,,,1895,3288,1735,240,288,1200
1,Taplejung,3646,easter d,mountain,eastern,2001/2002,2001/02,8990,18250,2030,13150,21960,1670,3100,3720,1200,,,,1810,3206,1771,240,290,1208
1,Taplejung,3646,easter d,mountain,eastern,2002/2003,2002/03,8990,18250,2030,13150,21960,1670,3100,3720,1200,,,,1895,3492,1843,240,336,1400
1,Taplejung,3646,easter d,mountain,eastern,2003/2004,2003/04,8990,18250,2030,13150,21960,,3100,3720,1200,,,,1895,3492,1843,240,336,1400
1,Taplejung,3646,easter d,mountain,eastern,2004/2005,2004/05,9025,19738,2187,13150,22171,1686,3100,3565,1150,,,,1895,3832,2022,240,288,1200
1,Taplejung,3646,easter d,mountain,eastern,2005/2006,2005/06,9090,19089,2100,13075,22881,1750,3050,3660,1200,,,,1895,2879,1519,240,288,1200
1,Taplejung,3646,easter d,mountain,eastern,2006/2007,2006/07,8783,16048,1827,13075,24019,1837,3050,3500,1148,,,,1895,2879,1519,240,288,1200
1,Taplejung,3646,easter d,mountain,eastern,2007/2008,2007/08,8783,16048,1827,13187,28495,2161,3050,3567,1170,,,,1895,2879,1519,240,288,1200
1,Taplejung,3646,easter d,mountain,eastern,2008/2009,2008/09,8783,16048,1827,13187,28495,2161,3050,3567,1170,,,,1890,2285,1209,240,264,1100
1,Taplejung,3646,easter d,mountain,eastern,2009/2010,2009/10,8710,15600,1791,13200,26300,1992,3050,3050,1000,,,,1890,2300,1217,240,264,1100
1,Taplejung,3646,easter d,mountain,eastern,2010/2011,2010/11,9710,20100,2070,16075,36795,2289,3050,3813,1250,,,,1895,3921,2069,240,300,1250
1,Taplejung,3646,easter d,mountain,eastern,2011/2012,2011/12,10477,22167,2116,16075,38116,2371,3050,3508,1150,155,170,1097,1210,2783,2300,240,280,1167
1,Taplejung,3646,easter d,mountain,eastern,2012/2013,2012/13,4850,10913,2250,9150,27450,3000,3050,3507,1150,118,165,1398,1895,3600,1900,240,312,1300
1,Taplejung,3646,easter d,mountain,eastern,2013/2014,2013/14,6950,13861,1994,16075,49408,3074,3290,4418,1343,120,170,1417,925,2016,2179,200,300,1500
1,Taplejung,3646,easter d,mountain,eastern,2014/2015,2014/2015,4074,8637,2120,9150,30770,3363,3350,4718,1408,118,165,1398,1060,2271,2142,240,312,1300
2,Panchthar,1241,easter d,hill,eastern,2000/2001,2000/01,6730,12501,1858,14138,26155,1850,5955,7421,1246,,,,4097,4970,1213,535,455,850
2,Panchthar,1241,easter d,hill,eastern,2001/2002,2001/02,10480,22010,2100,14151,16681,1179,5975,7170,1200,,,,4100,5720,1395,540,553,1024
2,Panchthar,1241,easter d,hill,eastern,2002/2003,2002/03,10480,22010,2100,14151,16681,1179,5975,7170,1200,,,,4100,5900,1439,532,638,1199
2,Panchthar,1241,easter d,hill,eastern,2003/2004,2003/04,10480,22010,2100,14151,16681,1179,5975,7170,1200,,,,4100,5900,1439,532,638,1199
2,Panchthar,1241,easter d,hill,eastern,2004/2005,2004/05,10388,20776,2000,14154,21231,1500,5978,8564,1433,,,,4100,7380,1800,532,744,1398
2,Panchthar,1241,easter d,hill,eastern,2005/2006,2005/06,10388,20776,2000,14154,21231,1500,5978,7965,1332,,,,4100,7000,1707,532,570,1071
2,Panchthar,1241,easter d,hill,eastern,2006/2007,2006/07,8854,15800,1785,14154,21231,1500,5978,7700,1288,,,,4115,7410,1801,519,674,1299
2,Panchthar,1241,easter d,hill,eastern,2007/2008,2007/08,8854,15800,1785,14160,22089,1560,5992,7790,1300,,,,4115,7410,1801,519,674,1299
2,Panchthar,1241,easter d,hill,eastern,2008/2009,2008/09,8854,15879,1793,14160,22133,1563,5992,7750,1293,,,,4130,6300,1525,515,515,1000
2,Panchthar,1241,easter d,hill,eastern,2009/2010,2009/10,8400,15000,1786,14150,21225,1500,4911,7150,1456,,,,4130,6300,1525,515,515,1000
2,Panchthar,1241,easter d,hill,eastern,2010/2011,2010/11,10400,21840,2100,14155,21233,1500,5000,8350,1670,60,42,700,4000,7400,1850,500,600,1200
2,Panchthar,1241,easter d,hill,eastern,2011/2012,2011/12,11500,23000,2000,12800,21760,1700,5000,9350,1870,60,42,700,4000,7580,1895,494,593,1200
2,Panchthar,1241,easter d,hill,eastern,2012/2013,2012/13,11300,22600,2000,8000,12240,1530,5000,9350,1870,56,36,643,3995,7632,1910,460,552,1200
2,Panchthar,1241,easter d,hill,eastern,2013/2014,2013/14,10322,30127,2919,18627,29931,1607,4805,9046,1883,56,36,643,3120,6732,2158,450,500,1111
2,Panchthar,1241,easter d,hill,eastern,2014/2015,2014/2015,9200,20240,2200,18432,30412,1650,4750,8980,1891,56,36,643,3912,6494,1660,400,450,1125
3,Ilam,1703,easter d,hill,eastern,2000/2001,2000/01,12405,20851,1681,24335,43681,1795,3290,3290,1000,,,,4592,8081,1760,71,71,1000
3,Ilam,1703,easter d,hill,eastern,2001/2002,2001/02,13605,28800,2117,24500,44350,1810,3213,3373,1050,,,,4607,8062,1750,71,71,1000
3,Ilam,1703,easter d,hill,eastern,2002/2003,2002/03,13605,28800,2117,24500,44350,1810,3213,3373,1050,,,,4600,8050,1750,70,70,1000
3,Ilam,1703,easter d,hill,eastern,2003/2004,2003/04,13605,28800,2117,24500,44350,1810,3213,3373,1050,,,,4600,8050,1750,70,70,1000
3,Ilam,1703,easter d,hill,eastern,2004/2005,2004/05,14471,31966,2209,24500,46550,1900,3290,3290,1000,,,,4708,8945,1900,72,72,1000
3,Ilam,1703,easter d,hill,eastern,2005/2006,2005/06,14625,35538,2430,22927,42415,1850,3290,3390,1030,,,,4708,8500,1805,72,72,1000
3,Ilam,1703,easter d,hill,eastern,2006/2007,2006/07,12091,29500,2440,23470,46940,2000,3312,3312,1000,,,,4735,9020,1905,75,75,1000
3,Ilam,1703,easter d,hill,eastern,2007/2008,2007/08,12304,28299,2300,23480,57526,2450,3314,2884,870,,,,4735,10627,2244,75,75,1000
3,Ilam,1703,easter d,hill,eastern,2008/2009,2008/09,13200,36300,2750,23480,57526,2450,3314,2884,870,,,,4735,8250,1742,75,75,1000
3,Ilam,1703,easter d,hill,eastern,2009/2010,2009/10,13084,35914,2745,23480,58500,2491,3312,3612,1091,,,,4735,9050,1911,75,75,1000
3,Ilam,1703,easter d,hill,eastern,2010/2011,2010/11,14825,45690,3082,31480,77500,2462,3312,3312,1000,28,20,714,4800,13365,2784,75,75,1000
3,Ilam,1703,easter d,hill,eastern,2011/2012,2011/12,14825,45690,3082,31480,77500,2462,3000,3000,1000,28,20,714,4620,13398,2900,55,55,1000
3,Ilam,1703,easter d,hill,eastern,2012/2013,2012/13,14815,45185,3050,31480,78385,2490,3000,2670,890,25,17,680,4700,12960,2757,55,50,909
3,Ilam,1703,easter d,hill,eastern,2013/2014,2013/14,14185,44966,3170,28200,69654,2470,3000,3000,1000,25,20,800,4697,12350,2629,50,50,1000
3,Ilam,1703,easter d,hill,eastern,2014/2015,2014/2015,12593,31230,2480,31395,111452,3550,1700,1700,1000,25,20,800,4620,15338,3320,50,50,1000
4,Jhapa,1606,easter d,terai,eastern,2000/2001,2000/01,84214,247680,2941,21055,42110,2000,2000,2000,1000,,,,16500,35650,2161,50,60,1200
4,Jhapa,1606,easter d,terai,eastern,2001/2002,2001/02,92150,290660,3154,21150,42300,2000,2000,2000,1000,,,,16511,35650,2159,50,60,1200
4,Jhapa,1606,easter d,terai,eastern,2002/2003,2002/03,92100,298600,3242,21150,42300,2000,2000,2000,1000,,,,15100,32280,2138,11,11,1000
4,Jhapa,1606,easter d,terai,eastern,2003/2004,2003/04,92100,298600,3242,21150,42300,2000,2000,2000,1000,,,,15100,32280,2138,11,11,1000
4,Jhapa,1606,easter d,terai,eastern,2004/2005,2004/05,96875,314844,3250,22000,44000,2000,1950,1950,1000,,,,15500,44950,2900,10,10,1000
4,Jhapa,1606,easter d,terai,eastern,2005/2006,2005/06,96800,311690,3220,22250,47838,2150,2150,2150,1000,,,,15700,39250,2500,100,110,1100
4,Jhapa,1606,easter d,terai,eastern,2006/2007,2006/07,81000,243290,3004,21700,54250,2500,2200,2340,1064,,,,17000,44200,2600,11,22,2000
4,Jhapa,1606,easter d,terai,eastern,2007/2008,2007/08,96161,312523,3250,22550,56627,2511,2100,2100,1000,,,,15000,43500,2900,10,10,1000
4,Jhapa,1606,easter d,terai,eastern,2008/2009,2008/09,96700,322640,3337,22600,58600,2593,2000,2000,1000,,,,15000,36500,2433,10,10,1000
4,Jhapa,1606,easter d,terai,eastern,2009/2010,2009/10,80000,264000,3300,22600,58600,2593,1800,2160,1200,,,,14000,34000,2429,8,6,750
4,Jhapa,1606,easter d,terai,eastern,2010/2011,2010/11,82400,271920,3300,24600,62310,2533,1800,2160,1200,1300,1300,1000,11500,24150,2100,9,7,778
4,Jhapa,1606,easter d,terai,eastern,2011/2012,2011/12,89400,321840,3600,24600,72460,2946,1800,2160,1200,1300,1300,1000,7500,25150,3353,8,6,750
4,Jhapa,1606,easter d,terai,eastern,2012/2013,2012/13,86700,320790,3700,36185,82140,2270,1785,1785,1000,1265,1265,1000,6500,21750,3346,8,6,750
