dcode,dname,fiscalYear,userId,cropname,cropcode,areaunit,area,productionunit,production
1,Taplejung,2055/2056,59,Barley,,1,240,6,288
1,Taplejung,2056/2057,59,Barley,,1,240,6,288
1,Taplejung,2057/2058,59,Barley,,1,240,6,290
1,Taplejung,2058/2059,59,Barley,,1,240,6,336
1,Taplejung,2059/2060,59,Barley,,1,240,6,336
1,Taplejung,2060/2061,59,Barley,,1,240,6,288
1,Taplejung,2061/2062,59,Barley,,1,240,6,288
1,Taplejung,2062/2063,59,Barley,,1,240,6,288
1,Taplejung,2063/2064,59,Barley,,1,240,6,288
1,Taplejung,2064/2065,59,Barley,,1,240,6,264
1,Taplejung,2065/2066,59,Barley,,1,240,6,264
1,Taplejung,2066/2067,59,Barley,,1,240,6,300
1,Taplejung,2067/2068,59,Barley,,1,240,6,280
1,Taplejung,2068/2069,59,Barley,,1,240,6,312
1,Taplejung,2069/2070,59,Barley,,1,200,6,300
1,Taplejung,2070/2071,59,Barley,,1,240,6,312
1,Taplejung,2055/2056,59,Buckwheat,,1,,6,
1,Taplejung,2056/2057,59,Buckwheat,,1,,6,
1,Taplejung,2057/2058,59,Buckwheat,,1,,6,
1,Taplejung,2058/2059,59,Buckwheat,,1,,6,
1,Taplejung,2059/2060,59,Buckwheat,,1,,6,
1,Taplejung,2060/2061,59,Buckwheat,,1,,6,
1,Taplejung,2061/2062,59,Buckwheat,,1,,6,
1,Taplejung,2062/2063,59,Buckwheat,,1,,6,
1,Taplejung,2063/2064,59,Buckwheat,,1,,6,
1,Taplejung,2064/2065,59,Buckwheat,,1,,6,
1,Taplejung,2065/2066,59,Buckwheat,,1,,6,
1,Taplejung,2066/2067,59,Buckwheat,,1,,6,
1,Taplejung,2067/2068,59,Buckwheat,,1,155,6,170
1,Taplejung,2068/2069,59,Buckwheat,,1,118,6,165
1,Taplejung,2069/2070,59,Buckwheat,,1,120,6,170
1,Taplejung,2070/2071,59,Buckwheat,,1,118,6,165
1,Taplejung,2055/2056,59,Maize,,1,12500,6,19312
1,Taplejung,2056/2057,59,Maize,,1,12463,6,17363
1,Taplejung,2057/2058,59,Maize,,1,13150,6,21960
1,Taplejung,2058/2059,59,Maize,,1,13150,6,21960
1,Taplejung,2059/2060,59,Maize,,1,13150,6,21960
1,Taplejung,2060/2061,59,Maize,,1,13150,6,22171
1,Taplejung,2061/2062,59,Maize,,1,13075,6,22881
1,Taplejung,2062/2063,59,Maize,,1,13075,6,24019
1,Taplejung,2063/2064,59,Maize,,1,13187,6,28495
1,Taplejung,2064/2065,59,Maize,,1,13187,6,28495
1,Taplejung,2065/2066,59,Maize,,1,13200,6,26300
1,Taplejung,2066/2067,59,Maize,,1,16075,6,36795
1,Taplejung,2067/2068,59,Maize,,1,16075,6,38116
1,Taplejung,2068/2069,59,Maize,,1,9150,6,27450
1,Taplejung,2069/2070,59,Maize,,1,16075,6,49408
1,Taplejung,2070/2071,59,Maize,,1,9150,6,30770
1,Taplejung,2055/2056,59,Millet,,1,3512,6,4214
1,Taplejung,2056/2057,59,Millet,,1,5631,6,6350
1,Taplejung,2057/2058,59,Millet,,1,3100,6,3720
1,Taplejung,2058/2059,59,Millet,,1,3100,6,3720
1,Taplejung,2059/2060,59,Millet,,1,3100,6,3720
1,Taplejung,2060/2061,59,Millet,,1,3100,6,3565
1,Taplejung,2061/2062,59,Millet,,1,3050,6,3660
1,Taplejung,2062/2063,59,Millet,,1,3050,6,3500
1,Taplejung,2063/2064,59,Millet,,1,3050,6,3567
1,Taplejung,2064/2065,59,Millet,,1,3050,6,3567
1,Taplejung,2065/2066,59,Millet,,1,3050,6,3050
1,Taplejung,2066/2067,59,Millet,,1,3050,6,3813
1,Taplejung,2067/2068,59,Millet,,1,3050,6,3508
1,Taplejung,2068/2069,59,Millet,,1,3050,6,3507
1,Taplejung,2069/2070,59,Millet,,1,3290,6,4418
1,Taplejung,2070/2071,59,Millet,,1,3350,6,4718
1,Taplejung,2055/2056,59,Paddy,,1,8220,6,15837
1,Taplejung,2056/2057,59,Paddy,,1,4927,6,8078
1,Taplejung,2057/2058,59,Paddy,,1,8990,6,18250
1,Taplejung,2058/2059,59,Paddy,,1,8990,6,18250
1,Taplejung,2059/2060,59,Paddy,,1,8990,6,18250
1,Taplejung,2060/2061,59,Paddy,,1,9025,6,19738
1,Taplejung,2061/2062,59,Paddy,,1,9090,6,19089
1,Taplejung,2062/2063,59,Paddy,,1,8783,6,16048
1,Taplejung,2063/2064,59,Paddy,,1,8783,6,16048
1,Taplejung,2064/2065,59,Paddy,,1,8783,6,16048
1,Taplejung,2065/2066,59,Paddy,,1,8710,6,15600
1,Taplejung,2066/2067,59,Paddy,,1,9710,6,20100
1,Taplejung,2067/2068,59,Paddy,,1,10477,6,22167
1,Taplejung,2068/2069,59,Paddy,,1,4850,6,10913
1,Taplejung,2069/2070,59,Paddy,,1,6950,6,13861
1,Taplejung,2070/2071,59,Paddy,,1,4074,6,8637
1,Taplejung,2055/2056,59,Wheat,,1,1895,6,3288
1,Taplejung,2056/2057,59,Wheat,,1,1895,6,3288
1,Taplejung,2057/2058,59,Wheat,,1,1810,6,3206
1,Taplejung,2058/2059,59,Wheat,,1,1895,6,3492
1,Taplejung,2059/2060,59,Wheat,,1,1895,6,3492
1,Taplejung,2060/2061,59,Wheat,,1,1895,6,3832
1,Taplejung,2061/2062,59,Wheat,,1,1895,6,2879
1,Taplejung,2062/2063,59,Wheat,,1,1895,6,2879
1,Taplejung,2063/2064,59,Wheat,,1,1895,6,2879
1,Taplejung,2064/2065,59,Wheat,,1,1890,6,2285
1,Taplejung,2065/2066,59,Wheat,,1,1890,6,2300
1,Taplejung,2066/2067,59,Wheat,,1,1895,6,3921
1,Taplejung,2067/2068,59,Wheat,,1,1210,6,2783
1,Taplejung,2068/2069,59,Wheat,,1,1895,6,3600
1,Taplejung,2069/2070,59,Wheat,,1,925,6,2016
1,Taplejung,2070/2071,59,Wheat,,1,1060,6,2271
2,Panchthar,2055/2056,58,Barley,,1,520,6,468
2,Panchthar,2056/2057,58,Barley,,1,535,6,455
2,Panchthar,2057/2058,58,Barley,,1,540,6,553
2,Panchthar,2058/2059,58,Barley,,1,532,6,638
2,Panchthar,2059/2060,58,Barley,,1,532,6,638
2,Panchthar,2060/2061,58,Barley,,1,532,6,744
2,Panchthar,2061/2062,58,Barley,,1,532,6,570
2,Panchthar,2062/2063,58,Barley,,1,519,6,674
2,Panchthar,2063/2064,58,Barley,,1,519,6,674
2,Panchthar,2064/2065,58,Barley,,1,515,6,515
2,Panchthar,2065/2066,58,Barley,,1,515,6,515
2,Panchthar,2066/2067,58,Barley,,1,500,6,600
2,Panchthar,2067/2068,58,Barley,,1,494,6,593
2,Panchthar,2068/2069,58,Barley,,1,460,6,552
2,Panchthar,2069/2070,58,Barley,,1,450,6,500
2,Panchthar,2070/2071,58,Barley,,1,400,6,450
2,Panchthar,2055/2056,58,Buckwheat,,1,,6,
2,Panchthar,2056/2057,58,Buckwheat,,1,,6,
2,Panchthar,2057/2058,58,Buckwheat,,1,,6,
2,Panchthar,2058/2059,58,Buckwheat,,1,,6,
2,Panchthar,2059/2060,58,Buckwheat,,1,,6,
2,Panchthar,2060/2061,58,Buckwheat,,1,,6,
2,Panchthar,2061/2062,58,Buckwheat,,1,,6,
2,Panchthar,2062/2063,58,Buckwheat,,1,,6,
2,Panchthar,2063/2064,58,Buckwheat,,1,,6,
2,Panchthar,2064/2065,58,Buckwheat,,1,,6,
2,Panchthar,2065/2066,58,Buckwheat,,1,,6,
2,Panchthar,2066/2067,58,Buckwheat,,1,60,6,42
2,Panchthar,2067/2068,58,Buckwheat,,1,60,6,42
2,Panchthar,2068/2069,58,Buckwheat,,1,56,6,36
2,Panchthar,2069/2070,58,Buckwheat,,1,56,6,36
2,Panchthar,2070/2071,58,Buckwheat,,1,56,6,36
2,Panchthar,2055/2056,58,Maize,,1,14250,6,27118
2,Panchthar,2056/2057,58,Maize,,1,14138,6,26155
2,Panchthar,2057/2058,58,Maize,,1,14151,6,16681
2,Panchthar,2058/2059,58,Maize,,1,14151,6,16681
2,Panchthar,2059/2060,58,Maize,,1,14151,6,16681
2,Panchthar,2060/2061,58,Maize,,1,14154,6,21231
2,Panchthar,2061/2062,58,Maize,,1,14154,6,21231
2,Panchthar,2062/2063,58,Maize,,1,14154,6,21231
2,Panchthar,2063/2064,58,Maize,,1,14160,6,22089
2,Panchthar,2064/2065,58,Maize,,1,14160,6,22133
2,Panchthar,2065/2066,58,Maize,,1,14150,6,21225
2,Panchthar,2066/2067,58,Maize,,1,14155,6,21233
2,Panchthar,2067/2068,58,Maize,,1,12800,6,21760
2,Panchthar,2068/2069,58,Maize,,1,8000,6,12240
2,Panchthar,2069/2070,58,Maize,,1,18627,6,29931
2,Panchthar,2070/2071,58,Maize,,1,18432,6,30412
2,Panchthar,2055/2056,58,Millet,,1,5953,6,9703
2,Panchthar,2056/2057,58,Millet,,1,5955,6,7421
2,Panchthar,2057/2058,58,Millet,,1,5975,6,7170
2,Panchthar,2058/2059,58,Millet,,1,5975,6,7170
2,Panchthar,2059/2060,58,Millet,,1,5975,6,7170
2,Panchthar,2060/2061,58,Millet,,1,5978,6,8564
2,Panchthar,2061/2062,58,Millet,,1,5978,6,7965
2,Panchthar,2062/2063,58,Millet,,1,5978,6,7700
2,Panchthar,2063/2064,58,Millet,,1,5992,6,7790
2,Panchthar,2064/2065,58,Millet,,1,5992,6,7750
2,Panchthar,2065/2066,58,Millet,,1,4911,6,7150
2,Panchthar,2066/2067,58,Millet,,1,5000,6,8350
2,Panchthar,2067/2068,58,Millet,,1,5000,6,9350
2,Panchthar,2068/2069,58,Millet,,1,5000,6,9350
2,Panchthar,2069/2070,58,Millet,,1,4805,6,9046
2,Panchthar,2070/2071,58,Millet,,1,4750,6,8980
2,Panchthar,2055/2056,58,Paddy,,1,10409,6,23150
2,Panchthar,2056/2057,58,Paddy,,1,6730,6,12501
2,Panchthar,2057/2058,58,Paddy,,1,10480,6,22010
2,Panchthar,2058/2059,58,Paddy,,1,10480,6,22010
2,Panchthar,2059/2060,58,Paddy,,1,10480,6,22010
2,Panchthar,2060/2061,58,Paddy,,1,10388,6,20776
2,Panchthar,2061/2062,58,Paddy,,1,10388,6,20776
2,Panchthar,2062/2063,58,Paddy,,1,8854,6,15800
2,Panchthar,2063/2064,58,Paddy,,1,8854,6,15800
2,Panchthar,2064/2065,58,Paddy,,1,8854,6,15879
2,Panchthar,2065/2066,58,Paddy,,1,8400,6,15000
2,Panchthar,2066/2067,58,Paddy,,1,10400,6,21840
2,Panchthar,2067/2068,58,Paddy,,1,11500,6,23000
2,Panchthar,2068/2069,58,Paddy,,1,11300,6,22600
2,Panchthar,2069/2070,58,Paddy,,1,10322,6,30127
2,Panchthar,2070/2071,58,Paddy,,1,9200,6,20240
2,Panchthar,2055/2056,58,Wheat,,1,4091,6,7520
2,Panchthar,2056/2057,58,Wheat,,1,4097,6,4970
2,Panchthar,2057/2058,58,Wheat,,1,4100,6,5720
2,Panchthar,2058/2059,58,Wheat,,1,4100,6,5900
2,Panchthar,2059/2060,58,Wheat,,1,4100,6,5900
2,Panchthar,2060/2061,58,Wheat,,1,4100,6,7380
2,Panchthar,2061/2062,58,Wheat,,1,4100,6,7000
2,Panchthar,2062/2063,58,Wheat,,1,4115,6,7410
2,Panchthar,2063/2064,58,Wheat,,1,4115,6,7410
2,Panchthar,2064/2065,58,Wheat,,1,4130,6,6300
2,Panchthar,2065/2066,58,Wheat,,1,4130,6,6300
2,Panchthar,2066/2067,58,Wheat,,1,4000,6,7400
2,Panchthar,2067/2068,58,Wheat,,1,4000,6,7580
2,Panchthar,2068/2069,58,Wheat,,1,3995,6,7632
2,Panchthar,2069/2070,58,Wheat,,1,3120,6,6732
2,Panchthar,2070/2071,58,Wheat,,1,3912,6,6494
3,Ilam,2055/2056,57,Barley,,1,90,6,80
